stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1776086967.046890736,-2.552050740,0.123219831,9.337218798,-0.025802493,-0.017152008,-0.019805200,0.000909068,-0.008345542,0.001027759,-0.006182754,0.008787119,0.003185083,0.991707644,0.002471689,0.128484600,-0.001243817,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.052485704,-2.559268447,0.082319494,9.390148645,-0.024737228,-0.019282537,-0.017674673,0.000873128,-0.008295430,0.001044111,-0.006664475,0.009126109,0.002660024,0.991716581,0.002369191,0.128417298,-0.001267556,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.057085991,-2.585733370,0.051042761,9.440672591,-0.028998286,-0.011825686,-0.010217823,0.000841514,-0.008253172,0.001055928,-0.007079838,0.009245570,0.002477365,0.991723155,0.002282694,0.128368013,-0.001275653,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.062490463,-2.578515664,0.077507690,9.443078493,-0.033259347,-0.006499363,-0.001695707,0.000801883,-0.008202832,0.001069146,-0.007586085,0.009383683,0.002414206,0.991728701,0.002172450,0.128327205,-0.001262238,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.066972017,-2.597762881,0.106378516,9.503226047,-0.033259347,-0.001173041,-0.000630442,0.000766963,-0.008160227,0.001080168,-0.007997859,0.009629600,0.002504677,0.991731781,0.002077692,0.128305184,-0.001239822,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.072357655,-2.554456642,0.132843440,9.517661460,-0.032194078,0.004153281,0.003630616,0.000722861,-0.008107141,0.001094430,-0.008379845,0.010084360,0.002791597,0.991733636,0.001966178,0.128292926,-0.001205926,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.076733112,-2.535209425,0.103972614,9.474355221,-0.025802493,0.006283810,0.004695881,0.000685770,-0.008062206,0.001106944,-0.008574119,0.010455167,0.002928717,0.991734078,0.001884427,0.128291034,-0.001173640,0.009953347,0.006118191,-0.005680354,-0.000000001,0.000000005,-0.000000001
1776086967.082491398,-2.496714990,0.087131298,9.479167026,-0.021541435,0.007349075,0.005761147,-0.011034029,-0.013826344,-0.016010423,-0.118048722,-0.039009172,-0.151170787,0.991944749,-0.001062585,0.126666820,0.000050250,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.086728811,-2.479873675,0.055854566,9.503226047,-0.014084584,0.007349075,0.002565354,-0.011534462,-0.013990807,-0.016650893,-0.118148429,-0.038615211,-0.151122067,0.991944355,-0.001118325,0.126669413,0.000078397,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.092351675,-2.467844164,0.048636859,9.500820145,-0.009823526,0.003088017,0.000434823,-0.012198903,-0.014206753,-0.017500341,-0.118187131,-0.038194516,-0.151018699,0.991944605,-0.001176897,0.126666903,0.000106240,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
